cve,modAV
CVE-2018-5965,NETWORK
CVE-2018-5967,NETWORK
CVE-2018-5968,NETWORK
CVE-2018-5969,NETWORK
CVE-2018-5970,NETWORK
CVE-2018-5971,NETWORK
CVE-2018-5972,NETWORK
CVE-2018-5973,NETWORK
CVE-2018-5974,NETWORK
CVE-2018-5975,NETWORK
CVE-2018-5976,NETWORK
CVE-2018-5977,NETWORK
CVE-2018-5978,NETWORK
CVE-2018-5979,NETWORK
CVE-2018-5980,NETWORK
CVE-2018-5981,NETWORK
CVE-2018-5982,NETWORK
CVE-2018-5984,NETWORK
CVE-2018-5985,NETWORK
CVE-2018-5986,NETWORK
CVE-2018-5988,NETWORK
CVE-2018-5990,NETWORK
CVE-2018-5991,NETWORK
CVE-2018-5992,NETWORK
CVE-2018-5993,NETWORK
CVE-2018-5994,NETWORK
CVE-2018-5996,NETWORK
CVE-2018-5997,NETWORK
CVE-2018-5999,NETWORK
CVE-2018-6000,NETWORK
CVE-2018-6001,NETWORK
CVE-2018-6002,NETWORK
CVE-2018-6003,NETWORK
CVE-2018-6004,NETWORK
CVE-2018-6005,NETWORK
CVE-2018-6006,NETWORK
CVE-2018-6007,NETWORK
CVE-2018-6008,NETWORK
CVE-2018-6009,NETWORK
CVE-2018-6010,NETWORK
CVE-2018-6013,NETWORK
CVE-2018-6014,NETWORK
CVE-2018-6015,NETWORK
CVE-2018-6017,NETWORK
CVE-2018-6018,NETWORK
CVE-2018-6022,NETWORK
CVE-2018-6024,NETWORK
CVE-2018-6029,NETWORK
CVE-2018-6184,NETWORK
CVE-2018-6186,NETWORK
CVE-2018-6187,NETWORK
CVE-2018-6190,NETWORK
CVE-2018-6191,NETWORK
CVE-2018-6192,NETWORK
CVE-2018-6193,NETWORK
CVE-2018-6194,NETWORK
CVE-2018-6195,NETWORK
CVE-2018-6196,NETWORK
CVE-2018-6197,NETWORK
CVE-2018-6198,LOCAL
CVE-2018-6200,NETWORK
CVE-2018-6201,LOCAL
CVE-2018-6202,LOCAL
CVE-2018-6203,LOCAL
CVE-2018-6204,LOCAL
CVE-2018-6205,LOCAL
CVE-2018-6206,LOCAL
CVE-2018-6207,LOCAL
CVE-2018-6208,LOCAL
CVE-2018-6209,LOCAL
